"REF_DATE","GEO","DGUID","Type of building","Type of work","Variables","Seasonal adjustment, value type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-06","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11718568","","","","0"
"2022-07","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11051817","","","","0"
"2022-08","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12161120","","","","0"
"2022-09","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10101256","","","","0"
"2022-10","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9935837","","","","0"
"2022-11","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11427296","","","","0"
"2022-12","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11258004","","","","0"
"2023-01","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10678844","","","","0"
"2023-02","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10506177","","","","0"
"2023-03","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12110713","","","","0"
"2023-04","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9577323","","","","0"
"2023-05","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11105076","","","","0"
"2023-06","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","13247302","","","","0"
"2023-07","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11459619","","","","0"
