"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","61328","","","","0"
"2012","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","67346","","","","0"
"2013","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","63348","","","","0"
"2014","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","68358","","","","0"
"2015","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","68441","","","","0"
"2016","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","68278","","","","0"
"2017","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","71100","","","","0"
"2019","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","75249","","","","0"
"2021","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","78854","","","","0"
"2010","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","7382","","","","0"
"2011","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","7276","","","","0"
"2012","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","7290","","","","0"
"2013","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","6978","","","","0"
"2014","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","7388","","","","0"
"2015","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","7546","","","","0"
"2016","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","7702","","","","0"
"2017","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","8170","","","","0"
"2019","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","9231","","","","0"
"2021","Prince Edward Island","2016A000211","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325636","4.1.3","10395","","","","0"
"2010","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","61939","","","","0"
"2011","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","67037","","","","0"
"2012","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","68111","","","","0"
"2013","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","68795","","","","0"
"2014","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","70501","","","","0"
"2015","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","70940","","","","0"
"2016","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","73879","","","","0"
"2017","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","73072","","","","0"
"2019","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","81229","","","","0"
"2021","Nova Scotia","2016A000212","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325676","5.1.1","81522","","","","0"
"2010","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","7059","","","","0"
"2011","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","7536","","","","0"
"2012","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","7191","","","","0"
"2013","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","6999","","","","0"
"2014","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","7527","","","","0"
"2015","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","7478","","","","0"
"2016","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","8118","","","","0"
"2017","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","7981","","","","0"
"2019","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","9077","","","","0"
"2021","Nova Scotia","2016A000212","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325678","5.1.3","9394","","","","0"
"2010","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","60942","","","","0"
"2011","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","62342","","","","0"
"2012","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","64453","","","","0"
"2013","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","65023","","","","0"
"2014","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","68650","","","","0"
"2015","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","67326","","","","0"
"2016","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","67933","","","","0"
"2017","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","70581","","","","0"
"2019","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","76753","","","","0"
"2021","New Brunswick","2016A000213","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325718","6.1.1","76577","","","","0"
"2010","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","7195","","","","0"
"2011","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","7278","","","","0"
"2012","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","7258","","","","0"
"2013","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","6812","","","","0"
"2014","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","7683","","","","0"
"2015","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","8011","","","","0"
"2016","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","7454","","","","0"
"2017","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","7922","","","","0"
"2019","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","9484","","","","0"
"2021","New Brunswick","2016A000213","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325720","6.1.3","9942","","","","0"
"2010","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","62257","","","","0"
"2011","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","64625","","","","0"
"2012","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","64681","","","","0"
"2013","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","68397","","","","0"
"2014","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","69209","","","","0"
"2015","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","68431","","","","0"
"2016","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","70853","","","","0"
"2017","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","73942","","","","0"
"2019","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","79639","","","","0"
"2021","Quebec","2016A000224","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325760","7.1.1","80452","","","","0"
"2010","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","7409","","","","0"
"2011","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","7455","","","","0"
"2012","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","7715","","","","0"
"2013","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","7892","","","","0"
"2014","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","7771","","","","0"
"2015","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","8154","","","","0"
"2016","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","8474","","","","0"
"2017","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","8199","","","","0"
"2019","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","9847","","","","0"
"2021","Quebec","2016A000224","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325762","7.1.3","9731","","","","0"
"2010","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","75556","","","","0"
"2011","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","77125","","","","0"
"2012","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","78846","","","","0"
"2013","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","82479","","","","0"
"2014","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","84406","","","","0"
"2015","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","85379","","","","0"
"2016","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","88953","","","","0"
"2017","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","90447","","","","0"
"2019","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","97385","","","","0"
"2021","Ontario","2016A000235","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325802","8.1.1","97357","","","","0"
"2010","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","7737","","","","0"
"2011","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","7799","","","","0"
"2012","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","7462","","","","0"
"2013","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","7751","","","","0"
"2014","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","8102","","","","0"
"2015","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","8475","","","","0"
"2016","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","8747","","","","0"
"2017","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","9098","","","","0"
"2019","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","10418","","","","0"
"2021","Ontario","2016A000235","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325804","8.1.3","9822","","","","0"
"2010","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","67908","","","","0"
"2011","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","68200","","","","0"
"2012","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","71492","","","","0"
"2013","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","73657","","","","0"
"2014","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","76434","","","","0"
"2015","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","77043","","","","0"
"2016","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","79633","","","","0"
"2017","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","85240","","","","0"
"2019","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","90617","","","","0"
"2021","Manitoba","2016A000246","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325886","10.1.1","87804","","","","0"
"2010","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","7530","","","","0"
"2011","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","7290","","","","0"
"2012","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","7658","","","","0"
"2013","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","7297","","","","0"
"2014","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","8417","","","","0"
"2015","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","8466","","","","0"
"2016","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","8338","","","","0"
"2017","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","8745","","","","0"
"2019","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","9957","","","","0"
"2021","Manitoba","2016A000246","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325888","10.1.3","9841","","","","0"
"2010","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","70444","","","","0"
"2011","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","71310","","","","0"
"2012","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","75277","","","","0"
"2013","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","79370","","","","0"
"2014","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","85456","","","","0"
"2015","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","89938","","","","0"
"2016","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","89354","","","","0"
"2017","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","88852","","","","0"
"2019","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","95951","","","","0"
"2021","Saskatchewan","2016A000247","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325928","11.1.1","90898","","","","0"
"2010","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","7369","","","","0"
"2011","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","7692","","","","0"
"2012","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","7428","","","","0"
"2013","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","7332","","","","0"
"2014","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","8708","","","","0"
"2015","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","8618","","","","0"
"2016","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","8888","","","","0"
"2017","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","9584","","","","0"
"2019","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","10428","","","","0"
"2021","Saskatchewan","2016A000247","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325930","11.1.3","11736","","","","0"
"2010","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","89077","","","","0"
"2011","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","89287","","","","0"
"2012","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","97387","","","","0"
"2013","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","101195","","","","0"
"2014","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","100956","","","","0"
"2015","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","110024","","","","0"
"2016","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","106514","","","","0"
"2017","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","101721","","","","0"
"2019","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","112317","","","","0"
"2021","Alberta","2016A000248","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325970","12.1.1","103472","","","","0"
"2010","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","8887","","","","0"
"2011","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","8559","","","","0"
"2012","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","8458","","","","0"
