"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","30907.3","","","","1"
"2020-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","30945.1","","","","1"
"2020-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","30988.3","","","","1"
"2020-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31014.2","","","","1"
"2020-05","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31037.6","","","","1"
"2020-06","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31070.8","","","","1"
"2020-07","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31100.2","","","","1"
"2020-08","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31126.0","","","","1"
"2020-09","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31154.4","","","","1"
"2020-10","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31172.3","","","","1"
"2020-11","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31185.8","","","","1"
"2020-12","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31193.7","","","","1"
"2021-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31203.9","","","","1"
"2021-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31221.9","","","","1"
"2021-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31235.6","","","","1"
"2021-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31248.1","","","","1"
"2021-05","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31260.4","","","","1"
"2021-06","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31287.5","","","","1"
"2021-07","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31318.8","","","","1"
"2021-08","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31359.5","","","","1"
"2021-09","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31393.0","","","","1"
"2021-10","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31432.6","","","","1"
"2021-11","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31475.9","","","","1"
"2021-12","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31518.9","","","","1"
"2022-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31559.4","","","","1"
"2022-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31600.5","","","","1"
"2022-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31642.1","","","","1"
"2022-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31683.5","","","","1"
"2022-05","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31733.2","","","","1"
"2022-06","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31781.7","","","","1"
"2022-07","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31834.3","","","","1"
"2022-08","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31894.0","","","","1"
"2022-09","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31948.3","","","","1"
"2022-10","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32005.2","","","","1"
"2022-11","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32058.7","","","","1"
"2022-12","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32111.8","","","","1"
"2023-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32187.9","","","","1"
"2023-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32270.6","","","","1"
"2023-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32355.3","","","","1"
"2023-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32432.5","","","","1"
"2023-05","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32524.6","","","","1"
"2023-06","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32617.0","","","","1"
"2023-07","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32710.3","","","","1"
"2023-08","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32808.3","","","","1"
"2023-09","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32896.0","","","","1"
"2023-10","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","32987.7","","","","1"
"2023-11","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33077.9","","","","1"
"2023-12","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33168.3","","","","1"
"2024-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33276.5","","","","1"
"2024-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33373.5","","","","1"
"2024-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33469.5","","","","1"
"2024-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33578.9","","","","1"
"2024-05","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33685.5","","","","1"
"2024-06","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33788.3","","","","1"
"2024-07","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33899.8","","","","1"
"2024-08","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","33995.1","","","","1"
"2024-09","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34089.8","","","","1"
"2024-10","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34163.7","","","","1"
"2024-11","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34225.2","","","","1"
"2024-12","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34285.1","","","","1"
"2025-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34340.8","","","","1"
"2025-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34388.2","","","","1"
"2025-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34440.0","","","","1"
"2025-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","34493.6","","","","1"
"2020-01","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15279.2","","","","1"
"2020-02","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15299.1","","","","1"
"2020-03","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15321.8","","","","1"
"2020-04","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15336.0","","","","1"
"2020-05","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15348.6","","","","1"
"2020-06","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15366.1","","","","1"
"2020-07","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15381.9","","","","1"
"2020-08","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15396.1","","","","1"
"2020-09","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15411.8","","","","1"
"2020-10","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15421.7","","","","1"
"2020-11","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15429.1","","","","1"
"2020-12","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15433.3","","","","1"
"2021-01","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15439.2","","","","1"
"2021-02","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15448.5","","","","1"
"2021-03","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15455.6","","","","1"
"2021-04","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15462.0","","","","1"
"2021-05","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15468.4","","","","1"
"2021-06","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15482.2","","","","1"
"2021-07","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15497.4","","","","1"
"2021-08","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15516.4","","","","1"
"2021-09","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15532.2","","","","1"
"2021-10","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15551.5","","","","1"
"2021-11","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15572.9","","","","1"
"2021-12","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15594.2","","","","1"
"2022-01","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15614.0","","","","1"
"2022-02","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15634.0","","","","1"
"2022-03","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15654.7","","","","1"
"2022-04","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15675.3","","","","1"
"2022-05","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15700.3","","","","1"
"2022-06","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15725.0","","","","1"
"2022-07","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15751.5","","","","1"
"2022-08","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15781.9","","","","1"
"2022-09","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15809.7","","","","1"
"2022-10","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15839.2","","","","1"
"2022-11","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15867.3","","","","1"
"2022-12","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15895.6","","","","1"
"2023-01","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15935.3","","","","1"
"2023-02","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","15978.9","","","","1"
"2023-03","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16023.8","","","","1"
"2023-04","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16064.8","","","","1"
"2023-05","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16113.6","","","","1"
"2023-06","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16163.0","","","","1"
"2023-07","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16212.8","","","","1"
"2023-08","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16264.9","","","","1"
"2023-09","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16312.3","","","","1"
"2023-10","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16362.0","","","","1"
"2023-11","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16411.0","","","","1"
"2023-12","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16460.1","","","","1"
"2024-01","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16517.9","","","","1"
"2024-02","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16570.2","","","","1"
"2024-03","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16622.2","","","","1"
"2024-04","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16681.0","","","","1"
"2024-05","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16738.5","","","","1"
"2024-06","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16794.1","","","","1"
"2024-07","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16853.4","","","","1"
"2024-08","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16904.5","","","","1"
"2024-09","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16953.2","","","","1"
"2024-10","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","16991.4","","","","1"
"2024-11","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","17023.0","","","","1"
"2024-12","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","17053.5","","","","1"
"2025-01","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","17081.4","","","","1"
"2025-02","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","17105.1","","","","1"
"2025-03","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","17131.0","","","","1"
"2025-04","Canada","2021A000011124","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062818","1.1.2.1.1.1","17157.2","","","","1"
"2020-01","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15628.1","","","","1"
"2020-02","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15646.0","","","","1"
"2020-03","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15666.6","","","","1"
"2020-04","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15678.2","","","","1"
"2020-05","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15689.0","","","","1"
"2020-06","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15704.7","","","","1"
"2020-07","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15718.2","","","","1"
"2020-08","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15729.8","","","","1"
"2020-09","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15742.6","","","","1"
"2020-10","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15750.6","","","","1"
"2020-11","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15756.7","","","","1"
"2020-12","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15760.4","","","","1"
"2021-01","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15764.7","","","","1"
"2021-02","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15773.4","","","","1"
"2021-03","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15780.0","","","","1"
"2021-04","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15786.1","","","","1"
"2021-05","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15792.0","","","","1"
"2021-06","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15805.3","","","","1"
"2021-07","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15821.4","","","","1"
"2021-08","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15843.1","","","","1"
"2021-09","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15860.8","","","","1"
"2021-10","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15881.1","","","","1"
"2021-11","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15903.0","","","","1"
"2021-12","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15924.6","","","","1"
"2022-01","Canada","2021A000011124","Population","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062827","1.1.3.1.1.1","15945.4","","","","1"
