"REF_DATE","GEO","DGUID","Prices","Industries","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10077","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10172","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10337","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10404","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10460","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10569","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10590","","","","0"
"2019-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","10733","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9144","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","2982","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","4620","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","4423","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","4635","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","4858","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","6626","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","7705","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","7612","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8959","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9290","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9518","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9815","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9803","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9858","","","","0"
