"REF_DATE","GEO","DGUID","Investment income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","36947","","","","0"
"2022-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","41233","","","","0"
"2022-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","41005","","","","0"
"2022-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","46117","","","","0"
"2023-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","48669","","","","0"
"2023-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","54591","","","","0"
"2023-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","54215","","","","0"
"2023-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","62091","","","","0"
"2024-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","59436","","","","0"
"2024-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","59460","","","","0"
"2024-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","62598","","","","0"
"2024-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","66100","","","","0"
"2025-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","66208","","","","0"
"2010-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","8838","","","","0"
"2010-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","8913","","","","0"
"2010-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","9646","","","","0"
"2010-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","11216","","","","0"
"2011-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","11034","","","","0"
"2011-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","11058","","","","0"
"2011-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","11576","","","","0"
"2011-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","10318","","","","0"
"2012-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","11990","","","","0"
"2012-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","9388","","","","0"
"2012-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","12747","","","","0"
"2012-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","10924","","","","0"
"2013-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","10451","","","","0"
"2013-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","10259","","","","0"
"2013-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","12505","","","","0"
"2013-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","12569","","","","0"
"2014-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","12792","","","","0"
"2014-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","13993","","","","0"
"2014-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","12526","","","","0"
"2014-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","12754","","","","0"
"2015-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","13366","","","","0"
"2015-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","13908","","","","0"
"2015-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","13187","","","","0"
"2015-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","13003","","","","0"
"2016-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","11726","","","","0"
"2016-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","13200","","","","0"
"2016-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","14005","","","","0"
"2016-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","15112","","","","0"
"2017-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","15033","","","","0"
"2017-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","16840","","","","0"
"2017-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","18207","","","","0"
"2017-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","20203","","","","0"
"2018-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","19988","","","","0"
"2018-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","20125","","","","0"
"2018-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","20284","","","","0"
"2018-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","21300","","","","0"
"2019-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","20095","","","","0"
"2019-04","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","21729","","","","0"
"2019-07","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","17881","","","","0"
"2019-10","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","22060","","","","0"
"2020-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","19942","","","","0"
