"REF_DATE","GEO","DGUID","Tourism share","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.99","","","","2"
"2020-01","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.75","","","","2"
"2020-04","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","0.60","","","","2"
"2020-07","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","0.83","","","","2"
"2020-10","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","0.78","","","","2"
"2021-01","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","0.80","","","","2"
"2021-04","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","0.83","","","","2"
"2021-07","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.14","","","","2"
"2021-10","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.33","","","","2"
"2022-01","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.30","","","","2"
"2022-04","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.54","","","","2"
"2022-07","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.64","","","","2"
"2022-10","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.70","","","","2"
"2023-01","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.77","","","","2"
"2023-04","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.78","","","","2"
"2023-07","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.77","","","","2"
"2023-10","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.78","","","","2"
"2024-01","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.78","","","","2"
"2024-04","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.78","","","","2"
"2024-07","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.74","","","","2"
"2024-10","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.79","","","","2"
"2025-01","Canada","2016A000011124","Tourism share of gross domestic product at basic prices, seasonally adjusted at annual rates","Percent","239","units","0","v65198952","1.1","1.74","","","","2"


