"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23141","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23477","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23860","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23975","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24112","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24468","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24877","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24918","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25092","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25293","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25279","","","","0"
